model,runtime,inference_time_1,fps,inference_time,device,half,int8,map50,map75,warmup_max_inf_time,warmup_min_inf_time,inference_time_max,inference_time_min
yolov8n_onnx_base.onnx,yolov8n,67.6,14.8,67.6194906234741,cpu,0,0,0.61,0.48,47.7864742279053,40.4019355773926,84.1069221496582,35.3119373321533
yolov8n_onnx_int8.onnx,yolov8n,68.4,14.6,68.363082408905,cpu,0,1,0.61,0.48,79.7584056854248,65.0832653045654,76.9863128662109,64.9433135986328
yolov8n_onnxnosimp_base.onnx,yolov8n,83.8,11.9,83.7709283828735,cpu,0,0,0.61,0.48,88.5393619537354,71.0256099700928,96.214771270752,78.2949924468994
yolov8n_onnxnosimp_int8.onnx,yolov8n,81.5,12.3,81.5140426158905,cpu,0,1,0.61,0.48,92.3166275024414,65.6261444091797,106.299638748169,77.202320098877
yolov8s_onnx_base.onnx,yolov8s,168.3,5.9,168.315228223801,cpu,0,0,0.77,0.66,170.410871505737,136.852264404297,191.758871078491,158.459186553955
yolov8s_onnx_int8.onnx,yolov8s,170.3,5.9,170.333082675934,cpu,0,1,0.77,0.66,169.470548629761,134.240627288818,193.567037582397,159.924745559692
yolov8m_onnx_base.onnx,yolov8m,415.6,2.4,415.592066049576,cpu,0,0,0.78,0.66,389.991998672485,285.953998565674,501.581907272339,390.568971633911
yolov8m_onnx_int8.onnx,yolov8m,421.5,2.4,421.486530303955,cpu,0,1,0.78,0.66,440.311670303345,349.945068359375,467.870712280273,389.455795288086
yolov8l_onnx_base.onnx,yolov8l,852.1,1.2,852.144817113876,cpu,0,0,0.83,0.70,837.884187698364,548.381090164185,1087.74304389954,756.210803985596
yolov8l_onnx_int8.onnx,yolov8l,824.6,1.2,824.593161344528,cpu,0,1,0.83,0.70,830.112934112549,558.574914932251,943.632125854492,769.350528717041
yolov8x_onnx_base.onnx,yolov8x,1193.4,0.8,1193.39307069778,cpu,0,0,0.82,0.71,1228.33371162415,956.131935119629,1486.567735672,1087.52417564392
yolov8x_onnx_int8.onnx,yolov8x,1119.1,0.9,1119.11607384682,cpu,0,1,0.82,0.71,1196.59233093262,924.972295761108,1329.5750617981,1078.27401161194
